pair_name,split,NCM,time_s,status
190222,test,1641,125.53,PASS
190236,test,1388,133.86,PASS
190295,test,1485,138.4,PASS
190306,test,1656,125.29,PASS
190319,test,1354,132.11,PASS
190324,test,1371,139.46,PASS
190441,test,1521,126.33,PASS
190573,test,1313,138.56,PASS
190630,test,1489,125.01,PASS
190692,test,1311,139.52,PASS
190786,test,1305,136.46,PASS
200129,test,1724,114.97,PASS
210080,test,1312,156.4,PASS
210128,test,1538,140.78,PASS
210239,test,1046,134.13,PASS
210335,test,1481,121.73,PASS
210354,test,1284,123.06,PASS
210381,test,1358,120.65,PASS
210397,test,1309,120.52,PASS
210401,test,1995,100.46,PASS
210406,test,1208,123.33,PASS
220137,test,2023,99.63,PASS
220179,test,1758,103.53,PASS
220221,test,992,123.75,PASS
220296,test,1039,118.98,PASS
220330,test,1070,117.19,PASS
230219,test,994,128.48,PASS
230252,test,1193,123.86,PASS
230274,test,1117,120.4,PASS
230384,test,864,128.86,PASS
230423,test,1236,118.29,PASS
230459,test,1055,123.39,PASS
240030,test,1748,123.81,PASS
240091,test,1637,130.49,PASS
240179,test,1590,140.26,PASS
240190,test,1832,129.15,PASS
240214,test,1522,138.19,PASS
240258,test,1455,141.18,PASS
240266,test,1616,137.53,PASS
240402,test,1648,133.5,PASS
240427,test,1710,134.21,PASS
240453,test,1312,144.28,PASS
260006,test,2577,88.22,PASS
260032,test,2722,83.47,PASS
260132,test,1710,132.82,PASS
260162,test,2767,84.03,PASS
260259,test,1733,104.74,PASS
260415,test,1931,109.94,PASS
260431,test,1716,118.55,PASS
260536,test,2746,84.16,PASS
