pair_name,split,NCM,time_s,status
190222,test,5,0.2,FAIL
190236,test,10,0.12,FAIL
190295,test,7,0.15,FAIL
190306,test,4,0.14,FAIL
190319,test,11,0.15,FAIL
190324,test,9,0.13,FAIL
190441,test,6,0.13,FAIL
190573,test,9,0.13,FAIL
190630,test,8,0.19,FAIL
190692,test,5,0.16,FAIL
190786,test,10,0.13,FAIL
200129,test,6,0.13,FAIL
210080,test,5,0.17,FAIL
210128,test,5,0.14,FAIL
210239,test,0,0.15,FAIL
210335,test,4,0.13,FAIL
210354,test,4,0.13,FAIL
210381,test,4,0.13,FAIL
210397,test,4,0.12,FAIL
210401,test,5,0.13,FAIL
210406,test,4,0.13,FAIL
220137,test,12,0.15,FAIL
220179,test,8,0.14,FAIL
220221,test,5,0.18,FAIL
220296,test,11,0.16,FAIL
220330,test,6,0.17,FAIL
230219,test,0,0.16,FAIL
230252,test,4,0.15,FAIL
230274,test,4,0.14,FAIL
230384,test,0,0.14,FAIL
230423,test,4,0.15,FAIL
230459,test,0,0.14,FAIL
240030,test,6,0.17,FAIL
240091,test,5,0.17,FAIL
240179,test,5,0.18,FAIL
240190,test,5,0.16,FAIL
240214,test,0,0.17,FAIL
240258,test,7,0.18,FAIL
240266,test,14,0.19,FAIL
240402,test,4,0.17,FAIL
240427,test,7,0.18,FAIL
240453,test,7,0.19,FAIL
260006,test,9,0.29,FAIL
260032,test,12,0.24,FAIL
260132,test,4,0.17,FAIL
260162,test,9,0.29,FAIL
260259,test,4,0.15,FAIL
260415,test,5,0.16,FAIL
260431,test,4,0.14,FAIL
260536,test,16,0.25,FAIL
